time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_x,cursor_y,target_x,target_y
429.0,0,130,512,100,100,580,640,-283,1,1092,640
588.0,0,130,119,105,-105,585,435,-283,1,704,435
608.0,0,130,119,105,-105,585,435,-283,1,704,435
624.0,0,130,119,105,-105,585,435,-283,1,704,435
643.0,0,130,119,105,-105,585,435,-283,1,704,435
659.0,0,130,119,105,-105,585,435,-283,1,704,435
676.0,0,130,119,105,-105,585,435,-283,1,704,435
693.0,0,130,119,105,-105,585,435,-283,1,704,435
711.0,0,130,119,105,-105,585,435,-283,1,704,435
725.0,0,130,119,105,-105,585,435,-283,1,704,435
742.0,0,130,119,105,-105,585,435,-283,1,704,435
759.0,0,130,119,105,-105,585,435,-283,1,704,435
776.0,0,130,119,105,-105,585,435,-283,1,704,435
793.0,0,130,119,105,-105,585,435,-283,1,704,435
810.0,0,130,119,105,-105,585,435,-283,1,704,435
827.0,0,130,119,105,-105,585,435,-283,1,704,435
844.0,0,130,119,105,-105,585,435,-283,1,704,435
860.0,0,130,119,105,-105,585,435,-283,1,704,435
876.0,0,130,119,105,-105,585,435,-283,1,704,435
893.0,0,130,119,105,-105,585,435,-283,1,704,435
909.0,0,130,119,105,-105,585,435,-283,1,704,435
928.0,0,130,119,105,-105,585,435,-283,1,704,435
941.0,0,130,119,105,-105,585,435,-283,1,704,435
961.0,0,130,119,105,-105,585,435,-283,1,704,435
974.0,0,130,119,105,-105,585,435,-283,1,704,435
995.0,0,130,119,105,-105,585,435,-283,1,704,435
1008.0,0,130,119,105,-105,585,435,-283,1,704,435
1028.0,0,130,119,105,-105,585,435,-283,1,704,435
1044.0,0,130,119,105,-105,585,435,-283,1,704,435
1058.0,0,130,119,105,-105,585,435,-283,1,704,435
1076.0,0,130,119,105,-105,585,435,-283,1,704,435
1093.0,0,130,119,105,-105,585,435,-283,1,704,435
1109.0,0,130,119,105,-105,585,435,-283,1,704,435
1126.0,0,130,119,105,-105,585,435,-283,1,704,435
1143.0,0,130,119,105,-105,585,435,-283,1,704,435
1160.0,0,130,119,105,-105,585,435,-283,1,704,435
1177.0,0,130,119,105,-105,585,435,-283,1,704,435
1193.0,0,130,119,105,-105,585,435,-283,1,704,435
1210.0,0,130,119,105,-105,585,435,-283,1,704,435
1224.0,0,130,119,105,-105,585,435,-283,1,704,435
1243.0,0,130,119,105,-105,585,435,-283,1,704,435
1258.0,0,130,119,105,-105,585,435,711,584,704,435
1277.0,0,130,119,105,-105,585,435,707,575,704,435
1291.0,0,130,119,105,-105,585,435,705,568,704,435
1310.0,0,130,119,105,-105,585,435,704,563,704,435
1326.0,0,130,119,105,-105,585,435,703,559,704,435
1342.0,0,130,119,105,-105,585,435,702,555,704,435
1359.0,0,130,119,105,-105,585,435,702,549,704,435
1376.0,0,130,119,105,-105,585,435,701,545,704,435
1393.0,0,130,119,105,-105,585,435,701,541,704,435
1409.0,0,130,119,105,-105,585,435,700,532,704,435
1425.0,0,130,119,105,-105,585,435,700,524,704,435
1441.0,0,130,119,105,-105,585,435,700,513,704,435
1458.0,0,130,119,105,-105,585,435,700,500,704,435
1477.0,0,130,119,105,-105,585,435,700,484,704,435
1493.0,0,130,119,105,-105,585,435,700,465,704,435
1510.0,0,130,119,105,-105,585,435,700,447,704,435
1526.0,0,130,119,105,-105,585,435,700,429,704,435
1544.0,0,130,119,105,-105,585,435,700,411,704,435
1558.0,0,130,119,105,-105,585,435,699,399,704,435
1576.0,0,130,119,105,-105,585,435,698,392,704,435
1591.0,0,130,119,105,-105,585,435,697,388,704,435
1612.0,0,130,119,105,-105,585,435,696,385,704,435
