completion_time,trial,condition,distance,shift_x,shift_y,start_x,start_y,cursor_endpoint_x,cursor_endpoint_y,target_x,target_y,target_to_endpoint_x,target_to_endpoint_y
534.0,0,0,12,105,105,585,645,593,646,597,645,-4,1
485.0,1,44,33,105,105,585,645,615,647,618,645,-3,2
686.0,2,87,69,105,105,585,645,675,655,654,645,21,10
1136.0,3,333,583,105,-105,585,435,979,441,1168,435,-189,6
400.0,4,4,12,105,105,585,645,597,646,597,645,0,1
383.0,5,26,12,-105,105,375,645,384,642,387,645,-3,-3
598.0,6,171,183,105,-105,585,435,741,443,768,435,-27,8
785.0,7,50,33,105,-105,585,435,631,440,618,435,13,5
617.0,8,191,183,-105,-105,375,435,573,440,558,435,15,5
835.0,9,244,355,105,105,585,645,937,651,940,645,-3,6
783.0,10,297,462,105,-105,585,435,967,482,1047,435,-80,47
433.0,11,23,12,-105,105,375,645,382,645,387,645,-5,0
599.0,12,235,262,-105,-105,375,435,663,436,637,435,26,1
566.0,13,123,119,105,105,585,645,687,654,704,645,-17,9
418.0,14,14,12,105,-105,585,435,600,436,597,435,3,1
250.0,15,15,12,105,-105,585,435,597,438,597,435,0,3
617.0,16,330,583,105,-105,585,435,1103,442,1168,435,-65,7
266.0,17,53,33,105,-105,585,435,619,436,618,435,1,1
348.0,18,183,183,-105,105,375,645,586,653,558,645,28,8
387.0,19,215,262,105,-105,585,435,832,432,847,435,-15,-3
532.0,20,20,12,-105,105,375,645,383,645,387,645,-4,0
164.0,21,21,12,-105,105,375,645,387,646,387,645,0,1
747.0,22,315,462,-105,-105,375,435,805,448,837,435,-32,13
816.0,23,306,462,-105,105,375,645,857,645,837,645,20,0
667.0,24,220,262,-105,105,375,645,654,644,637,645,17,-1
667.0,25,198,183,-105,-105,375,435,601,422,558,435,43,-13
234.0,26,152,119,-105,-105,375,435,496,437,494,435,2,2
84.0,27,27,12,-105,105,375,645,391,648,387,645,4,3
700.0,28,237,262,-105,-105,375,435,623,426,637,435,-14,-9
634.0,29,356,583,-105,-105,375,435,940,446,958,435,-18,11
601.0,30,245,355,105,105,585,645,945,653,940,645,5,8
84.0,31,28,12,-105,105,375,645,391,645,387,645,4,0
516.0,32,122,119,105,105,585,645,673,648,704,645,-31,3
