id,time,trial,cursor_x,cursor_y,target_x,target_y,radius,target_vel_x,target_vel_y,click_action,click_success
0,0.056,0.0,0.275598,0.154269,0.25287327,0.19447166,0.022358231,-0.20966846,-0.30810642,0,0
1,0.065,0.0,0.275598,0.154269,0.24937879,0.18933654,0.022358231,-0.20966846,-0.30810642,0,0
2,0.082,0.0,0.275598,0.154269,0.24588431,0.18420142,0.022358231,-0.20966846,-0.30810642,0,0
3,0.101,0.0,0.275598,0.154269,0.24238983,0.17906632,0.022358231,-0.20966846,-0.30810642,0,0
4,0.117,0.0,0.275598,0.154269,0.23889534,0.1739312,0.022358231,-0.20966846,-0.30810642,0,0
5,0.134,0.0,0.275598,0.154269,0.23540087,0.16879609,0.022358231,-0.20966846,-0.30810642,0,0
6,0.149,0.0,0.275598,0.154269,0.23190638,0.16366097,0.022358231,-0.20966846,-0.30810642,0,0
7,0.167,0.0,0.275598,0.154269,0.22841191,0.15852585,0.022358231,-0.20966846,-0.30810642,0,0
8,0.184,0.0,0.275598,0.154269,0.22491743,0.15339075,0.022358231,-0.20966846,-0.30810642,0,0
9,0.198,0.0,0.275598,0.154269,0.22142294,0.14825563,0.022358231,-0.20966846,-0.30810642,0,0
10,0.218,0.0,0.275598,0.154269,0.21792847,0.14312051,0.022358231,-0.20966846,-0.30810642,0,0
11,0.232,0.0,0.275598,0.154269,0.21443398,0.13798541,0.022358231,-0.20966846,-0.30810642,0,0
12,0.25,0.0,0.275598,0.154269,0.21093951,0.1328503,0.022358231,-0.20966846,-0.30810642,0,0
13,0.267,0.0,0.275598,0.154269,0.20744503,0.1277152,0.022358231,-0.20966846,-0.30810642,0,0
14,0.284,0.0,0.275598,0.154269,0.20395055,0.122580096,0.022358231,-0.20966846,-0.30810642,0,0
15,0.3,0.0,0.275598,0.154269,0.20045607,0.11744499,0.022358231,-0.20966846,-0.30810642,0,0
16,0.317,0.0,0.275598,0.154269,0.19696158,0.11230989,0.022358231,-0.20966846,-0.30810642,0,0
17,0.332,0.0,0.275598,0.154269,0.19346711,0.107174784,0.022358231,-0.20966846,-0.30810642,0,0
18,0.349,0.0,0.275049,0.154269,0.18997262,0.10203968,0.022358231,-0.20966846,-0.30810642,0,0
19,0.365,0.0,0.27449998,0.1545435,0.18647815,0.09690457,0.022358231,-0.20966846,-0.30810642,0,0
20,0.385,0.0,0.27367648,0.1550925,0.18298367,0.091769464,0.022358231,-0.20966846,-0.30810642,0,0
21,0.4,0.0,0.2720295,0.155367,0.17948918,0.08663436,0.022358231,-0.20966846,-0.30810642,0,0
22,0.417,0.0,0.2698335,0.1556415,0.17599471,0.081499256,0.022358231,-0.20966846,-0.30810642,0,0
23,0.433,0.0,0.2670885,0.1556415,0.17250022,0.07636415,0.022358231,-0.20966846,-0.30810642,0,0
24,0.451,0.0,0.26379448,0.1556415,0.16900575,0.07122905,0.022358231,-0.20966846,-0.30810642,0,0
25,0.467,0.0,0.259128,0.1545435,0.16551127,0.066093944,0.022358231,-0.20966846,-0.30810642,0,0
26,0.483,0.0,0.254187,0.153171,0.16201678,0.060958836,0.022358231,-0.20966846,-0.30810642,0,0
27,0.5,0.0,0.24540299,0.150426,0.15852231,0.055823732,0.022358231,-0.20966846,-0.30810642,0,0
28,0.515,0.0,0.23908949,0.14795549,0.15502782,0.050688624,0.022358231,-0.20966846,-0.30810642,0,0
29,0.532,0.0,0.2330505,0.145485,0.15153335,0.04555352,0.022358231,-0.20966846,-0.30810642,0,0
30,0.549,0.0,0.227835,0.143289,0.14803886,0.040418416,0.022358231,-0.20966846,-0.30810642,0,0
31,0.567,0.0,0.222345,0.1413675,0.1445444,0.03528331,0.022358231,-0.20966846,-0.30810642,0,0
32,0.584,0.0,0.2176785,0.1397205,0.1410499,0.030148203,0.022358231,-0.20966846,-0.30810642,0,0
33,0.6,0.0,0.2143845,0.138348,0.13755544,0.019703366,0.022358231,-0.20966846,0.30810642,0,0
34,0.617,0.0,0.211365,0.13724999,0.13406096,0.024838474,0.022358231,-0.20966846,0.30810642,0,0
35,0.633,0.0,0.2083455,0.1364265,0.1305665,0.029973581,0.022358231,-0.20966846,0.30810642,0,0
36,0.65,0.0,0.2050515,0.13587749,0.12707202,0.03510869,0.022358231,-0.20966846,0.30810642,0,0
37,0.667,0.0,0.2012085,0.13587749,0.12357755,0.040243797,0.022358231,-0.20966846,0.30810642,0,0
38,0.684,0.0,0.19681649,0.13587749,0.12008308,0.0453789,0.022358231,-0.20966846,0.30810642,0,0
39,0.699,0.0,0.1885815,0.1364265,0.1165886,0.050514005,0.022358231,-0.20966846,0.30810642,0,0
40,0.715,0.0,0.185562,0.136701,0.11309413,0.05564911,0.022358231,-0.20966846,0.30810642,0,0
41,0.732,0.0,0.174033,0.1375245,0.10959966,0.060784217,0.022358231,-0.20966846,0.30810642,0,0
42,0.748,0.0,0.16524899,0.138348,0.106105186,0.06591932,0.022358231,-0.20966846,0.30810642,0,0
43,0.766,0.0,0.15728849,0.138348,0.102610715,0.07105443,0.022358231,-0.20966846,0.30810642,0,0
44,0.784,0.0,0.15015149,0.137799,0.09911624,0.07618953,0.022358231,-0.20966846,0.30810642,0,0
45,0.8,0.0,0.143289,0.1375245,0.09562177,0.08132464,0.022358231,-0.20966846,0.30810642,0,0
46,0.817,0.0,0.136701,0.1369755,0.0921273,0.08645974,0.022358231,-0.20966846,0.30810642,0,0
47,0.833,0.0,0.13011299,0.1369755,0.08863283,0.091594845,0.022358231,-0.20966846,0.30810642,0,0
