id,time,trial,cursor_x,cursor_y,target_x,target_y,radius,target_vel_x,target_vel_y,click_action,click_success
0,0.054,0.0,0.227286,0.117486,0.26490203,0.08498303,0.012999566,-0.13983832,0.16556442,0,0
1,0.064,0.0,0.225639,0.124074,0.26257136,0.08774244,0.012999566,-0.13983832,0.16556442,0,0
2,0.08,0.0,0.225639,0.125721,0.26024073,0.090501845,0.012999566,-0.13983832,0.16556442,0,0
3,0.097,0.0,0.2259135,0.1281915,0.2579101,0.09326126,0.012999566,-0.13983832,0.16556442,0,0
4,0.117,0.0,0.22618799,0.1303875,0.25557947,0.09602066,0.012999566,-0.13983832,0.16556442,0,0
5,0.131,0.0,0.2264625,0.132309,0.25324884,0.09878007,0.012999566,-0.13983832,0.16556442,0,0
6,0.149,0.0,0.227286,0.13368149,0.25091818,0.101539485,0.012999566,-0.13983832,0.16556442,0,0
7,0.166,0.0,0.2281095,0.134505,0.24858756,0.10429889,0.012999566,-0.13983832,0.16556442,0,0
8,0.182,0.0,0.2286585,0.13505399,0.24625692,0.1070583,0.012999566,-0.13983832,0.16556442,0,0
9,0.199,0.0,0.2292075,0.1353285,0.24392629,0.109817706,0.012999566,-0.13983832,0.16556442,0,0
10,0.215,0.0,0.22975649,0.13587749,0.24159564,0.11257712,0.012999566,-0.13983832,0.16556442,0,0
11,0.231,0.0,0.2303055,0.136152,0.23926501,0.11533652,0.012999566,-0.13983832,0.16556442,0,0
12,0.248,0.0,0.23112899,0.136701,0.23693438,0.118095934,0.012999566,-0.13983832,0.16556442,0,0
13,0.266,0.0,0.23332499,0.13724999,0.23460373,0.12085534,0.012999566,-0.13983832,0.16556442,0,0
14,0.281,0.0,0.23552099,0.13724999,0.2322731,0.12361475,0.012999566,-0.13983832,0.16556442,0,0
15,0.301,0.0,0.23826599,0.136701,0.22994247,0.12637416,0.012999566,-0.13983832,0.16556442,0,0
16,0.314,0.0,0.241011,0.136152,0.22761182,0.12913357,0.012999566,-0.13983832,0.16556442,0,0
17,0.333,0.0,0.24265799,0.1353285,0.2252812,0.13189298,0.012999566,-0.13983832,0.16556442,0,0
18,0.349,0.0,0.2407365,0.1353285,0.22295056,0.13465239,0.012999566,-0.13983832,0.16556442,0,0
19,0.366,0.0,0.232227,0.135603,0.22061992,0.13741179,0.012999566,-0.13983832,0.16556442,0,0
20,0.381,0.0,0.2193255,0.137799,0.21828929,0.1401712,0.012999566,-0.13983832,0.16556442,0,0
21,0.398,0.0,0.205875,0.141093,0.21595865,0.14293061,0.012999566,-0.13983832,0.16556442,0,0
22,0.415,0.0,0.1951695,0.14301449,0.21362801,0.14569002,0.012999566,-0.13983832,0.16556442,0,0
23,0.432,0.0,0.187209,0.143838,0.21129738,0.14844942,0.012999566,-0.13983832,0.16556442,0,0
24,0.448,0.0,0.1803465,0.1446615,0.20896675,0.15120883,0.012999566,-0.13983832,0.16556442,0,0
25,0.448,0.0,0.1803465,0.1446615,0.20896675,0.15120883,0.012999566,-0.13983832,0.16556442,1,0
26,0.465,1.0,0.1770525,0.1452105,0.32326573,0.19217466,0.022116357,0.17472231,-0.25075793,0,0
27,0.483,1.0,0.1770525,0.1452105,0.32617778,0.18799536,0.022116357,0.17472231,-0.25075793,0,0
28,0.5,1.0,0.1770525,0.1452105,0.32908982,0.18381605,0.022116357,0.17472231,-0.25075793,0,0
29,0.514,1.0,0.17732699,0.1452105,0.33200184,0.17963675,0.022116357,0.17472231,-0.25075793,0,0
30,0.533,1.0,0.178425,0.145485,0.33491388,0.17545743,0.022116357,0.17472231,-0.25075793,0,0
31,0.55,1.0,0.17952299,0.1463085,0.33782592,0.17127813,0.022116357,0.17472231,-0.25075793,0,0
32,0.565,1.0,0.180621,0.147681,0.34073797,0.16709882,0.022116357,0.17472231,-0.25075793,0,0
33,0.582,1.0,0.18117,0.1496025,0.34365,0.16291952,0.022116357,0.17472231,-0.25075793,0,0
34,0.601,1.0,0.18171899,0.15234749,0.34656203,0.15874021,0.022116357,0.17472231,-0.25075793,0,0
35,0.615,1.0,0.184464,0.156465,0.34947407,0.15456091,0.022116357,0.17472231,-0.25075793,0,0
36,0.632,1.0,0.186111,0.15811199,0.35238612,0.1503816,0.022116357,0.17472231,-0.25075793,0,0
37,0.649,1.0,0.189954,0.162504,0.35529816,0.1462023,0.022116357,0.17472231,-0.25075793,0,0
38,0.665,1.0,0.1913265,0.1655235,0.3582102,0.14202298,0.022116357,0.17472231,-0.25075793,0,0
39,0.682,1.0,0.1918755,0.16881749,0.36112222,0.13784368,0.022116357,0.17472231,-0.25075793,0,0
40,0.699,1.0,0.1940715,0.171837,0.36403427,0.13366438,0.022116357,0.17472231,-0.25075793,0,0
41,0.717,1.0,0.199287,0.175131,0.3669463,0.1294851,0.022116357,0.17472231,-0.25075793,0,0
42,0.731,1.0,0.20889449,0.17815049,0.36985835,0.1253058,0.022116357,0.17472231,-0.25075793,0,0
43,0.749,1.0,0.2220705,0.1792485,0.3727704,0.121126495,0.022116357,0.17472231,-0.25075793,0,0
44,0.766,1.0,0.24046199,0.1792485,0.37568244,0.116947204,0.022116357,0.17472231,-0.25075793,0,0
45,0.784,1.0,0.262422,0.1776015,0.37859446,0.112767905,0.022116357,0.17472231,-0.25075793,0,0
46,0.799,1.0,0.2846565,0.175131,0.3815065,0.108588606,0.022116357,0.17472231,-0.25075793,0,0
47,0.815,1.0,0.306342,0.17101349,0.38441855,0.10440931,0.022116357,0.17472231,-0.25075793,0,0
48,0.832,1.0,0.3241845,0.1655235,0.3873306,0.10023001,0.022116357,0.17472231,-0.25075793,0,0
49,0.848,1.0,0.3488895,0.154269,0.39024264,0.09605071,0.022116357,0.17472231,-0.25075793,0,0
50,0.864,1.0,0.3620655,0.1457595,0.39315465,0.09187142,0.022116357,0.17472231,-0.25075793,0,0
51,0.881,1.0,0.373869,0.1369755,0.3960667,0.08769212,0.022116357,0.17472231,-0.25075793,0,0
52,0.9,1.0,0.38402548,0.129015,0.39897874,0.08351282,0.022116357,0.17472231,-0.25075793,0,0
53,0.916,1.0,0.3922605,0.121328995,0.40189078,0.07933352,0.022116357,0.17472231,-0.25075793,0,0
54,0.933,1.0,0.3977505,0.113093995,0.40480283,0.07515422,0.022116357,0.17472231,-0.25075793,0,0
55,0.95,1.0,0.402417,0.1029375,0.40771484,0.07097492,0.022116357,0.17472231,-0.25075793,0,0
56,0.966,1.0,0.40790698,0.091957495,0.4106269,0.06679563,0.022116357,0.17472231,-0.25075793,0,0
57,0.983,1.0,0.41339698,0.0837225,0.41353893,0.06261633,0.022116357,0.17472231,-0.25075793,0,0
58,0.998,1.0,0.4164165,0.0776835,0.41645098,0.058437034,0.022116357,0.17472231,-0.25075793,0,0
59,1.014,1.0,0.416691,0.0727425,0.41936302,0.054257736,0.022116357,0.17472231,-0.25075793,0,0
60,1.034,1.0,0.4164165,0.0672525,0.42227504,0.05007844,0.022116357,0.17472231,-0.25075793,0,0
61,1.034,1.0,0.41696548,0.064233,0.42227504,0.05007844,0.022116357,0.17472231,-0.25075793,1,1
62,1.048,2.0,0.4197105,0.056546997,0.24616788,0.16608724,0.022481961,0.16136694,-0.294032,0,0
63,1.064,2.0,0.421632,0.04941,0.24885733,0.1611867,0.022481961,0.16136694,-0.294032,0,0
64,1.084,2.0,0.42135748,0.045018,0.25154677,0.15628617,0.022481961,0.16136694,-0.294032,0,0
65,1.1,2.0,0.4202595,0.042273,0.25423622,0.15138562,0.022481961,0.16136694,-0.294032,0,0
66,1.117,2.0,0.4191615,0.040077,0.25692567,0.14648509,0.022481961,0.16136694,-0.294032,0,0
67,1.131,2.0,0.4191615,0.0392535,0.2596151,0.14158455,0.022481961,0.16136694,-0.294032,0,0
68,1.149,2.0,0.4191615,0.0392535,0.26230454,0.13668402,0.022481961,0.16136694,-0.294032,0,0
69,1.166,2.0,0.4191615,0.0392535,0.264994,0.13178349,0.022481961,0.16136694,-0.294032,0,0
70,1.183,2.0,0.41861248,0.0398025,0.26768345,0.12688296,0.022481961,0.16136694,-0.294032,0,0
71,1.2,2.0,0.4175145,0.042822,0.27037287,0.121982425,0.022481961,0.16136694,-0.294032,0,0
72,1.215,2.0,0.41504398,0.051880497,0.27306232,0.117081895,0.022481961,0.16136694,-0.294032,0,0
