id,time,trial,cursor_x,cursor_y,target_x,target_y,radius,target_vel_x,target_vel_y,click_action,click_success
0,0.052,0.0,0.283833,0.1633275,0.37087882,0.18338999,0.013810057,0.19046281,-0.03949404,0,0
1,0.061,0.0,0.2835585,0.16442549,0.37405318,0.18273175,0.013810057,0.19046281,-0.03949404,0,0
2,0.078,0.0,0.2835585,0.1647,0.37722757,0.18207352,0.013810057,0.19046281,-0.03949404,0,0
3,0.095,0.0,0.283284,0.1655235,0.38040194,0.18141527,0.013810057,0.19046281,-0.03949404,0,0
4,0.112,0.0,0.2830095,0.16662149,0.3835763,0.18075705,0.013810057,0.19046281,-0.03949404,0,0
5,0.128,0.0,0.282735,0.1677195,0.3867507,0.1800988,0.013810057,0.19046281,-0.03949404,0,0
6,0.144,0.0,0.28246048,0.168543,0.38992506,0.17944057,0.013810057,0.19046281,-0.03949404,0,0
7,0.162,0.0,0.282186,0.169092,0.39309943,0.17878233,0.013810057,0.19046281,-0.03949404,0,0
8,0.178,0.0,0.282186,0.1699155,0.39627382,0.17812409,0.013810057,0.19046281,-0.03949404,0,0
9,0.194,0.0,0.2819115,0.17018999,0.3994482,0.17746586,0.013810057,0.19046281,-0.03949404,0,0
10,0.211,0.0,0.28163698,0.17101349,0.40262258,0.17680761,0.013810057,0.19046281,-0.03949404,0,0
11,0.228,0.0,0.2813625,0.171837,0.40579695,0.17614938,0.013810057,0.19046281,-0.03949404,0,0
12,0.244,0.0,0.281088,0.173484,0.4089713,0.17549114,0.013810057,0.19046281,-0.03949404,0,0
13,0.263,0.0,0.2808135,0.1754055,0.4121457,0.17483291,0.013810057,0.19046281,-0.03949404,0,0
14,0.279,0.0,0.280539,0.17732699,0.41532007,0.17417467,0.013810057,0.19046281,-0.03949404,0,0
15,0.295,0.0,0.2802645,0.1792485,0.41849443,0.17351644,0.013810057,0.19046281,-0.03949404,0,0
16,0.312,0.0,0.2797155,0.18171899,0.42166883,0.1728582,0.013810057,0.19046281,-0.03949404,0,0
17,0.328,0.0,0.27889198,0.1836405,0.4248432,0.17219996,0.013810057,0.19046281,-0.03949404,0,0
18,0.344,0.0,0.2786175,0.18528749,0.42801756,0.17154172,0.013810057,0.19046281,-0.03949404,0,0
19,0.362,0.0,0.2786175,0.18665999,0.43119195,0.17088349,0.013810057,0.19046281,-0.03949404,0,0
20,0.379,0.0,0.2786175,0.18748349,0.43436632,0.17022525,0.013810057,0.19046281,-0.03949404,0,0
21,0.397,0.0,0.2786175,0.18748349,0.43754068,0.169567,0.013810057,0.19046281,-0.03949404,0,0
22,0.412,0.0,0.2786175,0.18748349,0.44071507,0.16890877,0.013810057,0.19046281,-0.03949404,0,0
23,0.427,0.0,0.2786175,0.18748349,0.44388944,0.16825053,0.013810057,0.19046281,-0.03949404,0,0
24,0.447,0.0,0.2786175,0.18748349,0.44706383,0.1675923,0.013810057,0.19046281,-0.03949404,0,0
25,0.463,0.0,0.2786175,0.18748349,0.4502382,0.16693406,0.013810057,0.19046281,-0.03949404,0,0
26,0.478,0.0,0.2786175,0.18748349,0.45341256,0.16627583,0.013810057,0.19046281,-0.03949404,0,0
27,0.496,0.0,0.2786175,0.18748349,0.45658696,0.16561759,0.013810057,0.19046281,-0.03949404,0,0
